Order_ID,Customer_ID,Product_ID,Seller_ID,Quantity,Order_Date,Shipping_Cost,Discount_Amount,Payment_Method,Total_Amount,Delivery_Status,Review_Rating
ORD_24,CUST_3108,PROD_5858,SELL_85,4,2023-01-01,36.1,107.69,Cash on Delivery,1672.33,Cancelled,5
ORD_25,CUST_3047,PROD_5650,SELL_978,3,2023-01-01,26.68,23.79,Credit Card,3367.21,Pending,5
ORD_26,CUST_2080,PROD_9666,SELL_810,1,2023-01-01,49.48,135.75,Net Banking,1550.62,Cancelled,2
ORD_27,CUST_4758,PROD_4248,SELL_465,5,2023-01-01,14.42,14.07,UPI,7983.25,Cancelled,2
ORD_28,CUST_1526,PROD_6367,SELL_12,3,2023-01-01,5.31,135.07,Cash on Delivery,2399.63,Cancelled,5
ORD_29,CUST_247,PROD_5002,SELL_807,1,2023-01-01,3.17,8.05,Debit Card,1056.03,Cancelled,1
ORD_30,CUST_1947,PROD_6272,SELL_312,4,2023-01-01,4.92,37.88,UPI,1667.44,Pending,2
ORD_31,CUST_3364,PROD_3405,SELL_205,5,2023-01-01,20.25,191.56,Cash on Delivery,3800.89,Delivered,1
ORD_32,CUST_756,PROD_3122,SELL_165,2,2023-01-01,49.14,106.9,Net Banking,2050.24,Delivered,3
ORD_33,CUST_3279,PROD_9115,SELL_66,1,2023-01-01,10.08,160.06,Cash on Delivery,1349.67,Cancelled,3
ORD_34,CUST_345,PROD_9475,SELL_925,4,2023-01-01,9.79,21.33,Credit Card,7639.9,Pending,3
ORD_35,CUST_1113,PROD_6001,SELL_239,2,2023-01-01,16.48,148.58,Net Banking,2262.16,Cancelled,5
ORD_36,CUST_1146,PROD_7098,SELL_745,1,2023-01-01,4.95,171.09,Net Banking,424.75,Cancelled,2
ORD_37,CUST_2526,PROD_6276,SELL_974,2,2023-01-01,43.55,83.66,Cash on Delivery,1552.15,Delivered,2
ORD_38,CUST_3610,PROD_6197,SELL_971,5,2023-01-01,25.72,93.12,Credit Card,2631.7,Cancelled,4
ORD_39,CUST_1497,PROD_9588,SELL_678,2,2023-01-01,48.42,118.46,UPI,1667.82,Pending,4
ORD_40,CUST_4153,PROD_1475,SELL_619,5,2023-01-01,5.12,152.9,Net Banking,4467.02,Pending,5
ORD_41,CUST_1741,PROD_2311,SELL_232,4,2023-01-01,11.86,85.66,Net Banking,2117.28,Pending,5
ORD_42,CUST_3713,PROD_8843,SELL_692,2,2023-01-01,29.75,45.17,Debit Card,3742.4,Pending,5
ORD_43,CUST_4910,PROD_9106,SELL_872,2,2023-01-01,4.22,87.17,Net Banking,2951.09,Pending,1
ORD_44,CUST_1291,PROD_7518,SELL_878,5,2023-01-01,22.89,197.48,UPI,3688.26,Pending,4
ORD_45,CUST_1281,PROD_6689,SELL_242,1,2023-01-01,25.59,112.45,Credit Card,1238.04,Delivered,4
ORD_46,CUST_874,PROD_4235,SELL_38,2,2023-01-01,12.34,31.08,Cash on Delivery,3587.0,Delivered,3
ORD_47,CUST_1897,PROD_7730,SELL_607,3,2023-01-01,26.79,185.58,UPI,2045.7,Delivered,2
ORD_48,CUST_3918,PROD_6955,SELL_153,4,2023-01-01,5.04,113.59,Cash on Delivery,5579.57,Delivered,3
ORD_49,CUST_4640,PROD_3017,SELL_126,3,2023-01-01,18.7,120.77,Net Banking,3222.92,Pending,1
ORD_50,CUST_4206,PROD_239,SELL_989,2,2023-01-01,11.63,96.92,UPI,1356.81,Cancelled,2
ORD_51,CUST_1848,PROD_1853,SELL_305,4,2023-01-01,21.96,45.06,Net Banking,1860.9,Cancelled,4
ORD_52,CUST_3499,PROD_6446,SELL_596,1,2023-01-01,29.97,124.66,Debit Card,225.0,Pending,5
ORD_53,CUST_1233,PROD_4980,SELL_247,3,2023-01-01,10.73,17.2,Cash on Delivery,1881.94,Pending,5
ORD_54,CUST_4871,PROD_9269,SELL_634,5,2023-01-01,11.99,5.79,Credit Card,1156.8,Pending,5
ORD_55,CUST_4034,PROD_889,SELL_466,5,2023-01-01,23.13,32.72,UPI,3683.61,Pending,5
ORD_56,CUST_3342,PROD_8658,SELL_897,2,2023-01-01,10.06,126.14,Debit Card,2452.72,Pending,4
ORD_57,CUST_4249,PROD_755,SELL_112,5,2023-01-01,6.7,11.8,Credit Card,8912.3,Delivered,1
ORD_58,CUST_140,PROD_5445,SELL_531,4,2023-01-01,48.37,138.89,Cash on Delivery,562.48,Delivered,2
ORD_59,CUST_2525,PROD_8606,SELL_956,4,2023-01-01,47.62,46.19,Net Banking,1352.91,Cancelled,1
ORD_60,CUST_1083,PROD_1837,SELL_439,2,2023-01-01,27.54,134.87,UPI,1957.95,Pending,4
ORD_61,CUST_4642,PROD_1771,SELL_192,1,2023-01-01,7.83,13.42,Debit Card,102.48,Cancelled,4
ORD_62,CUST_193,PROD_2864,SELL_792,1,2023-01-01,43.54,114.62,Credit Card,360.43,Cancelled,2
ORD_63,CUST_2912,PROD_8128,SELL_964,1,2023-01-01,3.22,189.96,Cash on Delivery,126.94,Delivered,4
ORD_64,CUST_386,PROD_4907,SELL_963,5,2023-01-01,40.29,119.26,Cash on Delivery,1492.93,Cancelled,5
ORD_65,CUST_3956,PROD_3418,SELL_270,3,2023-01-01,39.01,88.75,Net Banking,5863.8,Cancelled,4
ORD_66,CUST_2728,PROD_5161,SELL_149,2,2023-01-01,49.42,153.8,Net Banking,3548.36,Delivered,4
ORD_67,CUST_2945,PROD_845,SELL_820,2,2023-01-01,8.14,29.93,Credit Card,2772.05,Delivered,1
ORD_68,CUST_453,PROD_148,SELL_240,4,2023-01-01,13.31,108.22,Cash on Delivery,3651.45,Cancelled,4
ORD_69,CUST_2626,PROD_152,SELL_614,3,2023-01-01,18.75,182.76,Net Banking,2912.01,Pending,5
ORD_70,CUST_4645,PROD_5417,SELL_949,4,2023-01-01,49.96,173.69,Net Banking,2634.39,Cancelled,3
ORD_71,CUST_3820,PROD_5677,SELL_73,4,2023-01-01,4.79,136.06,Credit Card,1302.81,Cancelled,4
ORD_72,CUST_2124,PROD_3837,SELL_922,2,2023-01-01,19.43,174.18,Cash on Delivery,1739.61,Pending,4
ORD_73,CUST_390,PROD_8219,SELL_233,1,2023-01-01,4.73,80.26,Debit Card,872.68,Pending,3
ORD_74,CUST_3824,PROD_8145,SELL_754,5,2023-01-01,28.82,102.23,UPI,2499.29,Delivered,1
ORD_75,CUST_2863,PROD_5053,SELL_889,3,2023-01-01,24.79,93.33,Net Banking,4184.11,Cancelled,3
ORD_76,CUST_4195,PROD_345,SELL_909,5,2023-01-01,5.97,85.46,Net Banking,1984.81,Delivered,2
ORD_77,CUST_2991,PROD_810,SELL_509,5,2023-01-01,15.85,59.06,Debit Card,3507.09,Cancelled,5
ORD_78,CUST_2939,PROD_5206,SELL_96,3,2023-01-01,14.74,36.56,UPI,2307.08,Delivered,1
ORD_79,CUST_1059,PROD_3589,SELL_97,2,2023-01-01,5.26,129.62,Debit Card,392.8,Delivered,4
ORD_80,CUST_1530,PROD_1194,SELL_596,3,2023-01-01,3.68,61.91,Debit Card,5781.3,Pending,2
ORD_81,CUST_2113,PROD_3285,SELL_642,2,2023-01-01,31.75,76.09,Net Banking,3562.18,Cancelled,3
ORD_82,CUST_3626,PROD_2554,SELL_553,1,2023-01-01,27.41,126.37,UPI,941.58,Cancelled,1
ORD_83,CUST_4013,PROD_34,SELL_279,4,2023-01-01,22.1,167.21,Cash on Delivery,1225.21,Pending,3
ORD_84,CUST_3425,PROD_5889,SELL_314,4,2023-01-01,31.11,161.73,Debit Card,4424.06,Pending,2
ORD_85,CUST_606,PROD_9411,SELL_156,2,2023-01-01,20.93,172.46,Net Banking,1903.37,Delivered,4
ORD_86,CUST_4692,PROD_6521,SELL_728,2,2023-01-01,25.37,132.46,Cash on Delivery,812.23,Delivered,5
ORD_87,CUST_4908,PROD_1451,SELL_925,2,2023-01-01,17.06,146.56,Cash on Delivery,2906.9,Cancelled,4
ORD_88,CUST_2312,PROD_8014,SELL_731,4,2023-01-01,20.63,7.8,Credit Card,5401.59,Delivered,3
ORD_89,CUST_246,PROD_4899,SELL_618,5,2023-01-01,23.4,26.0,Net Banking,8913.25,Cancelled,5
ORD_90,CUST_4078,PROD_7565,SELL_729,5,2023-01-01,16.25,188.77,Cash on Delivery,-75.72,Pending,1
ORD_91,CUST_4735,PROD_7506,SELL_745,1,2023-01-01,7.27,88.41,UPI,1837.77,Pending,2
ORD_92,CUST_3626,PROD_9990,SELL_278,3,2023-01-01,35.57,15.72,Cash on Delivery,5411.42,Cancelled,4
ORD_93,CUST_2151,PROD_4697,SELL_171,1,2023-01-01,13.11,143.12,UPI,1562.0,Delivered,3
ORD_94,CUST_4047,PROD_9690,SELL_21,4,2023-01-01,28.68,166.87,Net Banking,6642.05,Cancelled,5
ORD_95,CUST_2952,PROD_3808,SELL_272,4,2023-01-01,22.33,133.7,Credit Card,2265.63,Delivered,3
ORD_96,CUST_959,PROD_5774,SELL_369,4,2023-01-01,48.62,123.96,UPI,6739.58,Pending,4
ORD_97,CUST_102,PROD_3133,SELL_301,3,2023-01-01,19.02,124.91,Credit Card,2377.75,Pending,1
ORD_98,CUST_786,PROD_2979,SELL_213,4,2023-01-01,4.47,157.01,Cash on Delivery,4093.18,Pending,4
ORD_99,CUST_3442,PROD_1233,SELL_265,2,2023-01-01,38.41,112.5,Credit Card,1205.83,Pending,5
ORD_100,CUST_584,PROD_8445,SELL_634,1,2023-01-01,35.14,197.49,Net Banking,1756.82,Cancelled,3
ORD_101,CUST_1854,PROD_9797,SELL_584,3,2023-01-01,33.53,112.43,Debit Card,3895.77,Cancelled,5
ORD_102,CUST_3662,PROD_1261,SELL_670,5,2023-01-01,4.96,136.98,Cash on Delivery,9862.23,Cancelled,4
ORD_103,CUST_3686,PROD_205,SELL_820,3,2023-01-01,29.43,168.61,Credit Card,-91.3,Delivered,1
ORD_104,CUST_769,PROD_2631,SELL_435,5,2023-01-01,11.95,158.98,UPI,1431.92,Delivered,1
ORD_105,CUST_1605,PROD_5496,SELL_124,3,2023-01-01,38.79,18.7,Debit Card,3189.68,Pending,2
ORD_106,CUST_2299,PROD_7066,SELL_671,1,2023-01-01,25.94,142.16,Net Banking,372.37,Delivered,2
ORD_107,CUST_2342,PROD_5537,SELL_778,3,2023-01-01,16.59,14.71,UPI,513.95,Cancelled,5
ORD_108,CUST_1436,PROD_2932,SELL_326,2,2023-01-01,2.82,18.77,UPI,3863.37,Delivered,5
ORD_109,CUST_1421,PROD_9409,SELL_473,3,2023-01-01,14.35,23.13,Debit Card,3006.16,Cancelled,4
ORD_110,CUST_3608,PROD_1155,SELL_565,3,2023-01-01,34.51,24.82,Cash on Delivery,5793.72,Cancelled,5
ORD_111,CUST_4412,PROD_4046,SELL_16,3,2023-01-01,27.76,31.95,Debit Card,690.79,Delivered,5
ORD_112,CUST_3625,PROD_9657,SELL_99,4,2023-01-01,27.31,131.38,Net Banking,594.65,Cancelled,4
ORD_113,CUST_1834,PROD_7343,SELL_713,1,2023-01-01,23.69,80.92,UPI,1133.65,Cancelled,5
ORD_114,CUST_4556,PROD_3940,SELL_841,1,2023-01-01,31.85,102.68,UPI,1624.66,Cancelled,3
ORD_115,CUST_2924,PROD_7152,SELL_405,5,2023-01-01,49.94,59.41,Cash on Delivery,8391.93,Cancelled,1
ORD_116,CUST_3591,PROD_1944,SELL_633,3,2023-01-01,46.54,60.06,UPI,723.01,Pending,2
ORD_117,CUST_4131,PROD_3460,SELL_67,2,2023-01-01,32.02,92.89,Net Banking,1633.91,Delivered,1
ORD_118,CUST_1800,PROD_5787,SELL_697,2,2023-01-01,21.31,58.32,Net Banking,2149.07,Delivered,5
ORD_119,CUST_4215,PROD_662,SELL_897,1,2023-01-01,40.7,104.71,Cash on Delivery,629.53,Pending,2
ORD_120,CUST_506,PROD_4151,SELL_953,3,2023-01-01,34.53,155.87,Net Banking,4685.83,Delivered,3
ORD_121,CUST_112,PROD_5907,SELL_720,1,2023-01-01,7.48,16.1,UPI,479.2,Pending,2
ORD_122,CUST_2384,PROD_2970,SELL_361,1,2023-01-01,25.01,177.6,Cash on Delivery,1546.44,Pending,4
ORD_123,CUST_1805,PROD_3086,SELL_326,1,2023-01-01,42.37,172.47,UPI,315.29,Pending,1
ORD_124,CUST_2642,PROD_8847,SELL_787,2,2023-01-01,11.15,86.96,Cash on Delivery,816.07,Pending,5
ORD_125,CUST_3471,PROD_5426,SELL_474,2,2023-01-01,28.22,103.3,Cash on Delivery,2190.5,Delivered,4
ORD_126,CUST_3118,PROD_3797,SELL_66,1,2023-01-01,10.81,125.96,UPI,1606.99,Cancelled,2
ORD_127,CUST_4847,PROD_4452,SELL_989,4,2023-01-01,42.0,25.75,UPI,6645.85,Pending,5
ORD_128,CUST_4212,PROD_2675,SELL_963,3,2023-01-01,36.67,174.24,UPI,529.18,Delivered,5
ORD_129,CUST_1149,PROD_8287,SELL_366,5,2023-01-01,12.16,80.95,Net Banking,6995.41,Delivered,1
ORD_130,CUST_1202,PROD_9482,SELL_780,4,2023-01-01,16.06,20.5,Cash on Delivery,4375.08,Pending,3
ORD_131,CUST_4053,PROD_7637,SELL_275,3,2023-01-01,18.79,167.1,Cash on Delivery,2608.36,Pending,4
ORD_132,CUST_1516,PROD_7782,SELL_773,3,2023-01-01,28.96,82.06,UPI,4896.78,Pending,2
ORD_133,CUST_1324,PROD_1073,SELL_505,5,2023-01-01,38.14,184.05,Credit Card,6531.24,Pending,5
ORD_134,CUST_514,PROD_9021,SELL_789,1,2023-01-01,35.17,64.46,Net Banking,468.61,Cancelled,2
ORD_135,CUST_1228,PROD_6628,SELL_323,2,2023-01-01,45.46,192.63,Debit Card,2516.77,Cancelled,3
ORD_136,CUST_3228,PROD_9636,SELL_213,4,2023-01-01,19.0,192.68,Net Banking,6598.64,Pending,1
ORD_137,CUST_1154,PROD_1668,SELL_955,1,2023-01-01,27.49,161.47,Credit Card,1620.03,Pending,1
ORD_138,CUST_1085,PROD_241,SELL_46,5,2023-01-01,45.38,47.65,Cash on Delivery,5682.08,Delivered,3
ORD_139,CUST_2059,PROD_2566,SELL_154,3,2023-01-02,46.61,84.82,Debit Card,5393.08,Delivered,5
ORD_140,CUST_4764,PROD_6944,SELL_703,5,2023-01-02,22.68,160.63,Cash on Delivery,4805.15,Cancelled,4
ORD_141,CUST_4881,PROD_86,SELL_557,3,2023-01-02,27.59,44.5,Cash on Delivery,5805.46,Pending,1
ORD_142,CUST_3230,PROD_7034,SELL_957,5,2023-01-02,8.58,168.38,UPI,4296.65,Delivered,3
ORD_143,CUST_4655,PROD_4895,SELL_401,2,2023-01-02,5.33,164.55,UPI,1705.08,Cancelled,4
ORD_144,CUST_2122,PROD_1734,SELL_111,2,2023-01-02,38.53,118.2,Debit Card,3040.55,Pending,5
ORD_145,CUST_4255,PROD_1316,SELL_425,1,2023-01-02,26.86,132.05,Net Banking,-27.01,Pending,2
ORD_146,CUST_2802,PROD_3717,SELL_373,4,2023-01-02,9.03,12.22,Cash on Delivery,2953.17,Delivered,3
ORD_147,CUST_1932,PROD_2111,SELL_861,5,2023-01-02,13.61,198.11,Net Banking,4393.2,Delivered,3
ORD_148,CUST_85,PROD_8787,SELL_262,5,2023-01-02,31.01,67.3,Credit Card,5160.71,Delivered,4
ORD_149,CUST_4311,PROD_7502,SELL_616,5,2023-01-02,32.82,113.52,UPI,223.0,Pending,5
ORD_150,CUST_4851,PROD_9667,SELL_924,1,2023-01-02,36.8,79.72,Net Banking,648.9,Delivered,1
ORD_151,CUST_1545,PROD_6908,SELL_26,4,2023-01-02,39.93,69.04,Cash on Delivery,2317.45,Delivered,3
ORD_152,CUST_3451,PROD_9839,SELL_350,5,2023-01-02,11.35,95.8,Credit Card,6155.8,Delivered,5
ORD_153,CUST_4219,PROD_5528,SELL_180,2,2023-01-02,41.48,33.49,Credit Card,2096.89,Delivered,3
ORD_154,CUST_1535,PROD_2788,SELL_847,2,2023-01-02,4.63,25.19,Debit Card,361.92,Pending,3
ORD_155,CUST_1822,PROD_5939,SELL_561,2,2023-01-02,46.14,144.91,Debit Card,974.63,Pending,4
ORD_156,CUST_3210,PROD_3775,SELL_59,1,2023-01-02,11.18,188.41,Net Banking,433.92,Pending,1
ORD_157,CUST_1033,PROD_7159,SELL_173,2,2023-01-02,47.7,91.47,Debit Card,2286.95,Cancelled,5
ORD_158,CUST_963,PROD_1233,SELL_465,2,2023-01-02,36.87,124.47,Credit Card,3489.92,Delivered,1
ORD_159,CUST_1808,PROD_1401,SELL_234,2,2023-01-02,19.37,71.38,Credit Card,2032.07,Cancelled,1
ORD_160,CUST_2194,PROD_347,SELL_812,1,2023-01-02,47.97,4.03,Debit Card,979.33,Pending,4
ORD_161,CUST_4164,PROD_1683,SELL_858,1,2023-01-02,45.85,109.74,Net Banking,1495.25,Pending,2
ORD_162,CUST_4029,PROD_5299,SELL_99,1,2023-01-02,16.83,48.72,Net Banking,1248.57,Cancelled,1
ORD_163,CUST_3178,PROD_826,SELL_733,1,2023-01-02,29.75,68.06,Debit Card,1500.21,Delivered,2
ORD_164,CUST_3582,PROD_8960,SELL_41,1,2023-01-02,13.69,139.37,Credit Card,485.1,Delivered,5
ORD_165,CUST_3426,PROD_6305,SELL_952,3,2023-01-02,37.19,166.26,Credit Card,4517.12,Delivered,4
ORD_166,CUST_4577,PROD_2406,SELL_358,5,2023-01-02,6.53,128.83,UPI,6609.25,Cancelled,4
ORD_167,CUST_2568,PROD_466,SELL_834,2,2023-01-02,12.92,30.62,Net Banking,3878.02,Delivered,3
ORD_168,CUST_2537,PROD_196,SELL_618,1,2023-01-02,41.14,108.74,Credit Card,855.55,Delivered,2
ORD_169,CUST_4061,PROD_4099,SELL_857,2,2023-01-02,4.6,80.85,Net Banking,3667.91,Pending,2
ORD_170,CUST_3884,PROD_1900,SELL_417,5,2023-01-02,38.51,165.55,UPI,3664.31,Cancelled,5
ORD_171,CUST_2769,PROD_3688,SELL_226,2,2023-01-02,45.43,106.44,Net Banking,2470.45,Pending,4
ORD_172,CUST_2717,PROD_8727,SELL_296,3,2023-01-02,23.57,87.24,UPI,4790.57,Cancelled,3
ORD_173,CUST_4138,PROD_1588,SELL_527,1,2023-01-02,38.2,76.65,Cash on Delivery,705.68,Cancelled,1
ORD_174,CUST_3927,PROD_1225,SELL_366,3,2023-01-02,46.92,109.07,Cash on Delivery,3110.14,Pending,4
ORD_175,CUST_619,PROD_9446,SELL_982,4,2023-01-02,7.13,60.37,Credit Card,110.0,Delivered,3
ORD_176,CUST_47,PROD_7287,SELL_521,4,2023-01-02,33.33,117.88,Debit Card,1857.77,Delivered,3
ORD_177,CUST_2095,PROD_8944,SELL_701,2,2023-01-02,17.93,89.7,Cash on Delivery,2401.49,Cancelled,1
ORD_178,CUST_1263,PROD_6856,SELL_111,3,2023-01-02,33.81,22.41,UPI,1211.88,Pending,5
ORD_179,CUST_2692,PROD_7898,SELL_56,5,2023-01-02,18.59,97.82,Net Banking,2397.32,Delivered,2
ORD_180,CUST_3327,PROD_5711,SELL_209,2,2023-01-02,33.14,39.24,Debit Card,1428.46,Pending,2
ORD_181,CUST_2835,PROD_5683,SELL_99,5,2023-01-02,15.93,178.23,Net Banking,667.6,Cancelled,1
ORD_182,CUST_21,PROD_3298,SELL_640,2,2023-01-02,26.27,182.12,Debit Card,2578.71,Delivered,4
ORD_183,CUST_975,PROD_2708,SELL_459,1,2023-01-02,11.57,11.8,Credit Card,636.65,Pending,4
ORD_184,CUST_2236,PROD_4839,SELL_914,2,2023-01-02,41.62,37.82,Credit Card,770.2,Delivered,3
ORD_185,CUST_3735,PROD_5466,SELL_375,2,2023-01-02,15.95,70.57,Debit Card,2779.14,Delivered,3
ORD_186,CUST_2527,PROD_1745,SELL_249,3,2023-01-02,10.76,3.67,Net Banking,1688.53,Cancelled,4
ORD_187,CUST_2968,PROD_8413,SELL_731,4,2023-01-02,22.94,14.93,Cash on Delivery,3654.93,Cancelled,4
ORD_188,CUST_3281,PROD_4433,SELL_12,4,2023-01-02,11.02,166.83,UPI,39.47,Pending,5
ORD_189,CUST_4757,PROD_5592,SELL_616,3,2023-01-02,41.23,68.8,Debit Card,5474.7,Pending,1
ORD_190,CUST_3969,PROD_3721,SELL_573,5,2023-01-02,39.72,94.94,Credit Card,1219.33,Pending,3
ORD_191,CUST_2394,PROD_5868,SELL_739,2,2023-01-02,38.16,147.52,Credit Card,121.04,Cancelled,2
ORD_192,CUST_40,PROD_2490,SELL_654,5,2023-01-02,42.55,42.71,Cash on Delivery,5586.39,Pending,2
ORD_193,CUST_4941,PROD_9431,SELL_927,4,2023-01-02,34.56,94.58,Credit Card,5567.62,Delivered,5
ORD_194,CUST_1735,PROD_5526,SELL_844,5,2023-01-02,40.66,103.59,Cash on Delivery,4409.77,Delivered,4
ORD_195,CUST_4526,PROD_2395,SELL_388,3,2023-01-02,11.49,47.72,Debit Card,5958.52,Cancelled,3
ORD_196,CUST_4181,PROD_6584,SELL_330,1,2023-01-02,14.18,1.72,Net Banking,183.8,Delivered,1
ORD_197,CUST_3042,PROD_6320,SELL_45,1,2023-01-02,44.24,147.46,Credit Card,222.39,Delivered,2
ORD_198,CUST_3974,PROD_1529,SELL_813,1,2023-01-02,46.46,117.59,UPI,1471.21,Delivered,1
ORD_199,CUST_136,PROD_7295,SELL_655,3,2023-01-02,7.44,139.08,Net Banking,2248.17,Pending,5
ORD_200,CUST_4802,PROD_3386,SELL_22,3,2023-01-02,17.71,122.19,Debit Card,2026.96,Cancelled,3
ORD_201,CUST_4272,PROD_8158,SELL_34,3,2023-01-02,7.2,149.95,Credit Card,2100.77,Cancelled,2
ORD_202,CUST_1111,PROD_6772,SELL_307,4,2023-01-02,12.4,198.28,Cash on Delivery,6840.12,Cancelled,3
ORD_203,CUST_1256,PROD_4258,SELL_523,4,2023-01-02,25.5,155.34,Debit Card,4519.8,Pending,3
ORD_204,CUST_1012,PROD_4902,SELL_780,5,2023-01-02,32.5,67.86,Cash on Delivery,3938.49,Pending,5
ORD_205,CUST_266,PROD_5415,SELL_107,2,2023-01-02,13.53,179.67,Credit Card,3332.16,Pending,2
ORD_206,CUST_4231,PROD_8680,SELL_809,4,2023-01-02,30.87,111.86,Cash on Delivery,3058.09,Cancelled,3
ORD_207,CUST_4765,PROD_1229,SELL_217,1,2023-01-02,35.8,29.92,Cash on Delivery,290.08,Pending,1
ORD_208,CUST_1422,PROD_8452,SELL_757,4,2023-01-02,2.7,45.86,Cash on Delivery,7237.56,Cancelled,2
ORD_209,CUST_534,PROD_4296,SELL_947,5,2023-01-02,45.33,12.88,Cash on Delivery,3800.7,Delivered,1
ORD_210,CUST_2251,PROD_423,SELL_96,2,2023-01-02,36.91,18.24,UPI,2367.51,Pending,2
ORD_211,CUST_3106,PROD_942,SELL_515,3,2023-01-02,10.23,148.97,Cash on Delivery,5789.38,Pending,5
ORD_212,CUST_3060,PROD_1262,SELL_267,3,2023-01-02,41.15,128.36,Net Banking,5543.61,Delivered,3
ORD_213,CUST_1895,PROD_7548,SELL_264,3,2023-01-02,40.26,5.12,Cash on Delivery,3542.77,Delivered,4
ORD_214,CUST_455,PROD_6686,SELL_569,5,2023-01-02,5.28,44.13,Debit Card,9336.0,Cancelled,2
ORD_215,CUST_2661,PROD_4884,SELL_929,1,2023-01-02,7.79,145.06,Net Banking,1156.67,Cancelled,2
ORD_216,CUST_2519,PROD_8366,SELL_912,2,2023-01-02,32.82,20.02,Cash on Delivery,2825.28,Pending,4
ORD_217,CUST_1703,PROD_500,SELL_632,1,2023-01-02,42.6,48.97,UPI,1370.94,Delivered,2
ORD_218,CUST_2111,PROD_1246,SELL_84,5,2023-01-02,49.44,79.74,Cash on Delivery,2183.8,Pending,4
ORD_219,CUST_3892,PROD_5728,SELL_117,1,2023-01-02,39.68,108.23,UPI,1163.35,Cancelled,4
ORD_220,CUST_4666,PROD_9874,SELL_795,5,2023-01-02,34.52,74.09,Net Banking,3726.23,Cancelled,5
ORD_221,CUST_2138,PROD_3930,SELL_620,3,2023-01-02,35.69,181.79,Credit Card,1689.03,Cancelled,2
ORD_222,CUST_3239,PROD_4602,SELL_688,4,2023-01-02,11.46,188.6,Credit Card,7337.78,Delivered,3
ORD_223,CUST_2634,PROD_4171,SELL_523,2,2023-01-02,14.92,37.09,Debit Card,2569.29,Delivered,1
ORD_224,CUST_2330,PROD_2407,SELL_183,3,2023-01-02,42.66,41.77,Cash on Delivery,5646.53,Cancelled,3
ORD_225,CUST_2269,PROD_9803,SELL_177,3,2023-01-02,43.79,53.07,Cash on Delivery,5477.03,Delivered,2
ORD_226,CUST_3766,PROD_6158,SELL_526,3,2023-01-02,20.44,154.67,Debit Card,1823.09,Delivered,5
ORD_227,CUST_1608,PROD_1139,SELL_731,1,2023-01-02,16.45,80.13,Cash on Delivery,850.88,Delivered,1
